IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
3.101.110.90,80,TRUE,SJC,North America,San Jose,181 ms,6135 kB/s
35.167.93.200,443,TRUE,PDX,North America,Portland,189 ms,6012 kB/s
204.110.221.83,80,TRUE,SEA,North America,Seattle,195 ms,5937 kB/s
13.53.81.150,2083,TRUE,ARN,Europe,Stockholm,192 ms,5916 kB/s
13.51.55.31,443,TRUE,ARN,Europe,Stockholm,188 ms,5806 kB/s
99.83.209.185,443,TRUE,IAD,North America,Ashburn,101 ms,5739 kB/s
204.110.221.40,80,TRUE,PDX,North America,Portland,190 ms,5702 kB/s
13.50.173.22,8443,TRUE,ARN,Europe,Stockholm,191 ms,4760 kB/s
204.110.221.170,80,TRUE,PDX,North America,Portland,189 ms,4725 kB/s
13.53.54.176,8080,TRUE,ARN,Europe,Stockholm,201 ms,4128 kB/s
13.53.51.77,8080,TRUE,ARN,Europe,Stockholm,205 ms,3600 kB/s
204.110.223.83,80,TRUE,CMH,North America,Columbus,219 ms,3415 kB/s
204.110.223.75,80,TRUE,ORD,North America,Chicago,233 ms,3118 kB/s
13.53.132.96,8080,TRUE,ARN,Europe,Stockholm,186 ms,3054 kB/s
204.110.221.61,80,TRUE,PDX,North America,Portland,219 ms,2853 kB/s
204.110.223.199,80,TRUE,CMH,North America,Columbus,251 ms,2668 kB/s
18.189.94.250,443,TRUE,CMH,North America,Columbus,228 ms,2653 kB/s
15.156.203.151,8443,TRUE,DFW,North America,Dallas,274 ms,2515 kB/s
99.83.181.188,443,TRUE,IAD,North America,Ashburn,107 ms,2130 kB/s
13.41.76.64,8080,TRUE,LHR,Europe,London,179 ms,2068 kB/s
3.98.54.22,8443,TRUE,YUL,North America,Montréal,260 ms,1743 kB/s
13.51.55.184,2053,TRUE,ARN,Europe,Stockholm,223 ms,1535 kB/s
204.110.223.180,80,TRUE,CMH,North America,Columbus,220 ms,1212 kB/s
13.201.221.231,443,TRUE,BOM,Asia Pacific,Mumbai,311 ms,560 kB/s
50.112.166.63,443,TRUE,PDX,North America,Portland,186 ms,115 kB/s
44.227.22.10,443,TRUE,PDX,North America,Portland,194 ms,112 kB/s
18.135.188.86,443,TRUE,LHR,Europe,London,191 ms,102 kB/s
3.98.73.243,443,TRUE,DFW,North America,Dallas,290 ms,77 kB/s
3.99.106.179,443,TRUE,DFW,North America,Dallas,255 ms,61 kB/s
3.111.155.29,443,TRUE,BOM,Asia Pacific,Mumbai,289 ms,51 kB/s
15.157.7.168,443,TRUE,DFW,North America,Dallas,264 ms,44 kB/s
18.189.139.61,443,TRUE,ORD,North America,Chicago,245 ms,0 kB/s
13.125.218.78,443,TRUE,ICN,Asia Pacific,Seoul,113 ms,0 kB/s
