IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.222.57,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,17744 kB/s
47.76.29.115,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,15483 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,76 ms,14480 kB/s
47.238.35.50,2096,true,HKG,Asia Pacific,Hong Kong,57 ms,11061 kB/s
47.76.192.24,2053,true,HKG,Asia Pacific,Hong Kong,57 ms,10017 kB/s
47.76.98.98,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,9495 kB/s
47.76.98.98,8443,true,HKG,Asia Pacific,Hong Kong,55 ms,9204 kB/s
47.238.35.50,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,8945 kB/s
47.76.192.24,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,7847 kB/s
47.76.49.246,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,7317 kB/s
47.76.222.57,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,7192 kB/s
47.76.222.57,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,5989 kB/s
47.237.95.146,2083,true,SIN,Asia Pacific,Singapore,290 ms,5944 kB/s
47.237.94.140,2096,true,SIN,Asia Pacific,Singapore,308 ms,5769 kB/s
47.76.225.255,2053,true,HKG,Asia Pacific,Hong Kong,69 ms,5691 kB/s
47.238.5.0,2083,true,HKG,Asia Pacific,Hong Kong,85 ms,5666 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,292 ms,5566 kB/s
47.237.0.31,2096,true,SIN,Asia Pacific,Singapore,278 ms,5499 kB/s
47.237.100.206,2053,true,SIN,Asia Pacific,Singapore,292 ms,5308 kB/s
47.236.169.141,2087,true,SIN,Asia Pacific,Singapore,302 ms,5254 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,301 ms,5230 kB/s
47.237.92.26,2096,true,SIN,Asia Pacific,Singapore,328 ms,5224 kB/s
47.76.222.57,2053,true,HKG,Asia Pacific,Hong Kong,73 ms,5143 kB/s
47.237.95.156,2083,true,SIN,Asia Pacific,Singapore,284 ms,4984 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,286 ms,4978 kB/s
47.236.171.205,2083,true,SIN,Asia Pacific,Singapore,278 ms,4978 kB/s
47.237.95.146,8443,true,SIN,Asia Pacific,Singapore,317 ms,4953 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,320 ms,4915 kB/s
47.236.166.131,2083,true,SIN,Asia Pacific,Singapore,311 ms,4914 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,315 ms,4907 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,278 ms,4885 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,320 ms,4871 kB/s
47.237.10.1,2083,true,SIN,Asia Pacific,Singapore,296 ms,4848 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,283 ms,4847 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,320 ms,4838 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,305 ms,4814 kB/s
